qhr,time,year,ydayf,hourf,wday,holi,temp.f,tcool.f,theat.f,dewp.f,pres.pa,wind.deg,wind.kmh,hum.pc,rain.mm,hdcnt,iat,occ
22809,2013-08-26 15:15:00,2013,0.650345562006679,0.635416666666667,1,0,75,2.98,0,58.74,1005,189.61,2.8888,57.3,0,2062,73.3154214559387,0.961805555555556
22810,2013-08-26 15:30:00,2013,0.650346747874924,0.645833333333333,1,0,74.6,2.64,0,58.25,1005,228.34,3.1335,56.9,0,2062,73.1288580246913,0.961805555555556
22811,2013-08-26 15:45:00,2013,0.650347933743169,0.65625,1,0,74.7,2.71,0,57.25,1005,239.22,1.8888,54.5,0,2062,72.9740122746452,0.961805555555556
22812,2013-08-26 16:00:00,2013,0.650349119611415,0.666666666666667,1,0,74,1.94,0,55.42,1005,214.89,2.2222,52.4,0.05,2062,72.754896313364,0.961805555555556
22813,2013-08-26 16:15:00,2013,0.65035030547966,0.677083333333333,1,0,73.5,1.47,0,54.15,1005,251.39,2.7777,50.9,0.1,2062,72.5934865900384,0.961805555555556
22814,2013-08-26 16:30:00,2013,0.650351491347905,0.6875,1,0,73,0.95,0,53.59,1005,241.22,1.4223,51,0.1,2062,72.4723180076628,0.961805555555556
22815,2013-08-26 16:45:00,2013,0.650352677216151,0.697916666666667,1,0,72.8,0.77333,0,54.98,1005,240.61,1.8222,53.9,0.1,2062,72.3523946360153,0.961805555555556
22816,2013-08-26 17:00:00,2013,0.650353863084396,0.708333333333333,1,0,71.9,0.57333,0.00667,55.78,1006,256.66,1.9332,57.3,0.111,2062,72.2636973180076,0.961805555555556
22817,2013-08-26 17:15:00,2013,0.650355048952641,0.71875,1,0,70.1,0,1.07667,57.03,1006,261.39,1.5778,63.8,0.1223,2062,72.3549808429119,0.961805555555556
22818,2013-08-26 17:30:00,2013,0.650356234820886,0.729166666666667,1,0,68.3,0,1.75,57.93,1006,275.67,1.1778,70,0.2333,2062,72.5334291187739,0.961805555555556
22819,2013-08-26 17:45:00,2013,0.650357420689132,0.739583333333333,1,0,66.9,0,3.1,58.5,1006,275.45,0.4445,74.7,0.6557,2062,72.5769157088122,0.961805555555556
22820,2013-08-26 18:00:00,2013,0.650358606557377,0.75,1,0,66.2,0,3.82,58.71,1006,250.55,0.2,77,0.6557,2062,72.342816091954,0.423611111111111
22821,2013-08-26 18:15:00,2013,0.650359792425622,0.760416666666667,1,0,66,0,4.03,58.7,1006,245.45,0.2,77.4,0.5833,2062,72.5064176245211,0.275462962962963
22822,2013-08-26 18:30:00,2013,0.650360978293868,0.770833333333333,1,0,65.8,0,4.16,58.85,1006,240.33,0.3333,78.1,0.55,2062,72.6806513409962,0.311921296296296
22823,2013-08-26 18:45:00,2013,0.650362164162113,0.78125,1,0,65.6,0,4.44,58.79,1006,233.89,0.8889,78.8,0.1083,2062,72.7578544061303,0.315393518518519
22824,2013-08-26 19:00:00,2013,0.650363350030358,0.791666666666667,1,0,65,0,5,58.71,1007,238.83,1.0445,80.1,0,2062,72.7949233716475,0.303819444444444
22825,2013-08-26 19:15:00,2013,0.650364535898603,0.802083333333333,1,0,64.5,0,5.45,58.62,1007,253.33,1.0222,81,0.05,2062,72.7967432950191,0.292824074074074
22826,2013-08-26 19:30:00,2013,0.650365721766849,0.8125,1,0,64.2,0,5.76,58.18,1007,217.44,0.9333,80.8,0.0333,2062,72.8065134099617,0.298032407407407
22827,2013-08-26 19:45:00,2013,0.650366907635094,0.822916666666667,1,0,64.2,0,5.86,58.24,1007,163.89,0.0667,81.2,0.0333,2062,72.7947318007663,0.306712962962963
22828,2013-08-26 20:00:00,2013,0.650368093503339,0.833333333333333,1,0,63.8,0,6.18,58.2,1007,133.89,0.0667,81.9,0.1,2062,72.8002493287304,0.302083333333333
22829,2013-08-26 20:15:00,2013,0.650369279371585,0.84375,1,0,63.4,0,6.54,57.84,1007,153.67,0.0667,82,0.0667,2062,72.8208812260536,0.281828703703704
22830,2013-08-26 20:30:00,2013,0.65037046523983,0.854166666666667,1,0,63.3,0,6.66,57.86,1007,203.89,0.311,82.4,0,2062,72.8110855389336,0.25462962962963
22831,2013-08-26 20:45:00,2013,0.650371651108075,0.864583333333333,1,0,63.3,0,6.72,57.84,1007,189.67,0.5111,82.5,0,2062,72.8053317990027,0.242476851851852
22832,2013-08-26 21:00:00,2013,0.650372836976321,0.875,1,0,63.3,0,6.74,57.9,1007,197.33,1.0333,82.7,0,2062,72.8448275862069,0.236689814814815
22833,2013-08-26 21:15:00,2013,0.650374022844566,0.885416666666667,1,0,63.1,0,6.86,57.86,1007,174.78,0.3111,83,0,2062,72.8706896551724,0.219328703703704
22834,2013-08-26 21:30:00,2013,0.650375208712811,0.895833333333333,1,0,62.9,0,7.08,57.88,1007,145,0,83.7,0,2062,72.9124521072797,0.207175925925926
22835,2013-08-26 21:45:00,2013,0.650376394581056,0.90625,1,0,62.8,0,7.24,57.66,1008,174.78,0.1333,83.4,0,2062,72.9107279693487,0.200231481481481
22836,2013-08-26 22:00:00,2013,0.650377580449302,0.916666666666667,1,0,62.7,0,7.32,57.4,1008,169.89,0.1333,83,0,2062,72.9248177982355,0.170717592592593
